time,segment,weight,position,altitude,speed,pitch,flightPathAngle
197,startup,21414.4211501,0,0,0,0,0
198,startup,21414.4210173,0,0,0,0,0
199,startup,21414.4208844,0,0,0,0,0
200,startup,21414.4207516,0,0,0,0,0
201,startup,21414.4206188,0,0,0,0,0
202,startup,21414.4204859,0,0,0,0,0
203,startup,21414.4203531,0,0,0,0,0
204,startup,21414.4202203,0,0,0,0,0
205,startup,21414.4200874,0,0,0,0,0
206,startup,21414.4199546,0,0,0,0,0
207,startup,21414.4198218,0,0,0,0,0
208,startup,21414.4196889,0,0,0,0,0
209,startup,21414.4195561,0,0,0,0,0
210,startup,21414.4194232,0,0,0,0,0
211,startup,21414.4192904,0,0,0,0,0
212,startup,21414.4191576,0,0,0,0,0
213,startup,21414.4190247,0,0,0,0,0
214,startup,21414.4188919,0,0,0,0,0
215,startup,21414.4187591,0,0,0,0,0
216,startup,21414.4186262,0,0,0,0,0
217,startup,21414.4184934,0,0,0,0,0
218,startup,21414.4183606,0,0,0,0,0
219,startup,21414.4182277,0,0,0,0,0
220,startup,21414.4180949,0,0,0,0,0
221,startup,21414.417962,0,0,0,0,0
222,startup,21414.4178292,0,0,0,0,0
223,startup,21414.4176964,0,0,0,0,0
224,startup,21414.4175635,0,0,0,0,0
225,startup,21414.4174307,0,0,0,0,0
226,startup,21414.4172979,0,0,0,0,0
227,startup,21414.417165,0,0,0,0,0
228,startup,21414.4170322,0,0,0,0,0
229,startup,21414.4168994,0,0,0,0,0
230,startup,21414.4167665,0,0,0,0,0
231,startup,21414.4166337,0,0,0,0,0
232,startup,21414.4165008,0,0,0,0,0
233,startup,21414.416368,0,0,0,0,0
234,startup,21414.4162352,0,0,0,0,0
235,startup,21414.4161023,0,0,0,0,0
236,startup,21414.4159695,0,0,0,0,0
237,startup,21414.4158367,0,0,0,0,0
238,startup,21414.4157038,0,0,0,0,0
239,startup,21414.415571,0,0,0,0,0
240,startup,21414.4154382,0,0,0,0,0
241,startup,21414.4153053,0,0,0,0,0
242,startup,21414.4151725,0,0,0,0,0
243,startup,21414.4150396,0,0,0,0,0
244,startup,21414.4149068,0,0,0,0,0
245,startup,21414.414774,0,0,0,0,0
246,startup,21414.4146411,0,0,0,0,0
247,startup,21414.4145083,0,0,0,0,0
248,startup,21414.4143755,0,0,0,0,0
249,startup,21414.4142426,0,0,0,0,0
250,startup,21414.4141098,0,0,0,0,0
251,startup,21414.413977,0,0,0,0,0
252,startup,21414.4138441,0,0,0,0,0
253,startup,21414.4137113,0,0,0,0,0
254,startup,21414.4135784,0,0,0,0,0
255,startup,21414.4134456,0,0,0,0,0
256,startup,21414.4133128,0,0,0,0,0
257,startup,21414.4131799,0,0,0,0,0
258,startup,21414.4130471,0,0,0,0,0
259,startup,21414.4129143,0,0,0,0,0
260,startup,21414.4127814,0,0,0,0,0
261,startup,21414.4126486,0,0,0,0,0
262,startup,21414.4125158,0,0,0,0,0
263,startup,21414.4123829,0,0,0,0,0
264,startup,21414.4122501,0,0,0,0,0
265,startup,21414.4121172,0,0,0,0,0
266,startup,21414.4119844,0,0,0,0,0
267,startup,21414.4118516,0,0,0,0,0
268,startup,21414.4117187,0,0,0,0,0
269,startup,21414.4115859,0,0,0,0,0
270,startup,21414.4114531,0,0,0,0,0
271,startup,21414.4113202,0,0,0,0,0
272,startup,21414.4111874,0,0,0,0,0
273,startup,21414.4110546,0,0,0,0,0
274,startup,21414.4109217,0,0,0,0,0
275,startup,21414.4107889,0,0,0,0,0
276,startup,21414.4106561,0,0,0,0,0
277,startup,21414.4105232,0,0,0,0,0
278,startup,21414.4103904,0,0,0,0,0
279,startup,21414.4102575,0,0,0,0,0
280,startup,21414.4101247,0,0,0,0,0
281,startup,21414.4099919,0,0,0,0,0
282,startup,21414.409859,0,0,0,0,0
283,startup,21414.4097262,0,0,0,0,0
284,startup,21414.4095934,0,0,0,0,0
285,startup,21414.4094605,0,0,0,0,0
286,startup,21414.4093277,0,0,0,0,0
287,startup,21414.4091949,0,0,0,0,0
288,startup,21414.409062,0,0,0,0,0
289,startup,21414.4089292,0,0,0,0,0
290,startup,21414.4087963,0,0,0,0,0
291,startup,21414.4086635,0,0,0,0,0
292,startup,21414.4085307,0,0,0,0,0
